CustomerID,Country,ShippingCity,MarketingOptIn,EmailDomain
13267,United Kingdom,Leicester,True,gmail.com
13269,United Kingdom,Stirling,True,sky.com
13301,United Kingdom,Lancaster,False,hotmail.co.uk
13313,United Kingdom,Edinburgh,True,icloud.com
13319,United Kingdom,York,True,icloud.com
13396,United Kingdom,Birmingham,False,yahoo.co.uk
13408,United Kingdom,Birmingham,False,cust13408-wholesale.co.uk
13488,United Kingdom,Nottingham,False,outlook.com
13549,United Kingdom,Liverpool,False,gmail.com
13571,United Kingdom,Glasgow,True,gmail.com
13588,United Kingdom,Leeds,False,gmail.com
13593,United Kingdom,Belfast,True,icloud.com
13599,United Kingdom,Carlisle,True,icloud.com
13668,United Kingdom,Canterbury,True,icloud.com
13692,United Kingdom,Perth,False,outlook.com
13694,United Kingdom,Leeds,False,cust13694-group.co.uk
13700,United Kingdom,London,True,hotmail.co.uk
13742,United Kingdom,Sheffield,False,outlook.com
13756,United Kingdom,Leeds,False,gmail.com
13777,United Kingdom,Sheffield,True,cust13777-trading.co.uk
13815,Germany,Nürnberg,False,gmx.de
13870,United Kingdom,Leicester,False,gmail.com
13924,United Kingdom,Liverpool,False,gmail.com
13946,United Kingdom,Inverness,False,btinternet.com
13949,United Kingdom,Sheffield,False,outlook.com
13975,United Kingdom,Edinburgh,False,icloud.com
13999,United Kingdom,Edinburgh,False,btinternet.com
14016,EIRE,Killarney,True,outlook.com
14030,United Kingdom,York,False,outlook.com
14060,United Kingdom,Truro,False,icloud.com
14083,United Kingdom,Shrewsbury,False,hotmail.co.uk
14085,United Kingdom,Llandudno,True,outlook.com
14107,United Kingdom,Belfast,False,hotmail.co.uk
14110,United Kingdom,Llandudno,False,yahoo.co.uk
14111,United Kingdom,Leeds,False,hotmail.co.uk
14112,United Kingdom,Cardiff,False,icloud.com
14132,United Kingdom,Carlisle,False,outlook.com
14156,EIRE,Dublin,False,cust14156-solutions.ie
14157,United Kingdom,Nottingham,False,hotmail.co.uk
14177,United Kingdom,Edinburgh,False,outlook.com
14180,United Kingdom,Carlisle,True,outlook.com
14188,United Kingdom,Sheffield,False,outlook.com
14209,United Kingdom,Lancaster,True,sky.com
14232,United Kingdom,Truro,False,outlook.com
14234,United Kingdom,Liverpool,True,gmail.com
14243,United Kingdom,Liverpool,False,icloud.com
14258,United Kingdom,Edinburgh,True,outlook.com
14298,United Kingdom,Edinburgh,True,cust14298-wholesale.co.uk
14360,United Kingdom,Bangor,False,yahoo.co.uk
14383,United Kingdom,Liverpool,False,sky.com
14407,United Kingdom,Belfast,False,sky.com
14415,United Kingdom,Cardiff,False,hotmail.co.uk
14426,United Kingdom,Leeds,True,hotmail.co.uk
14441,United Kingdom,Leeds,False,hotmail.co.uk
14472,United Kingdom,Liverpool,False,gmail.com
14503,United Kingdom,Stirling,True,outlook.com
14530,United Kingdom,Perth,False,gmail.com
14534,United Kingdom,York,False,outlook.com
14560,United Kingdom,Belfast,False,btinternet.com
14606,United Kingdom,Nottingham,False,yahoo.co.uk
14646,Netherlands,Amsterdam,False,cust14646-bv.nl
14667,United Kingdom,Sheffield,False,gmail.com
14713,United Kingdom,Shrewsbury,True,gmail.com
14720,United Kingdom,Inverness,False,sky.com
14735,United Kingdom,Cardiff,False,yahoo.co.uk
14796,United Kingdom,Glasgow,False,btinternet.com
14910,United Kingdom,Glasgow,False,sky.com
14948,United Kingdom,Liverpool,True,hotmail.co.uk
15059,United Kingdom,London,False,btinternet.com
15061,United Kingdom,Leicester,False,cust15061-wholesale.co.uk
15073,United Kingdom,London,True,gmail.com
15078,United Kingdom,York,True,gmail.com
15093,United Kingdom,Bath,True,gmail.com
15125,United Kingdom,Manchester,True,hotmail.co.uk
15156,United Kingdom,Belfast,False,yahoo.co.uk
15164,United Kingdom,Bristol,False,btinternet.com
15179,United Kingdom,Bath,False,btinternet.com
15187,United Kingdom,Manchester,False,sky.com
15189,United Kingdom,Birmingham,False,sky.com
15213,United Kingdom,Truro,True,btinternet.com
15218,United Kingdom,Manchester,True,btinternet.com
15240,United Kingdom,Glasgow,False,sky.com
15249,United Kingdom,Sheffield,True,btinternet.com
15251,United Kingdom,Nottingham,False,btinternet.com
15290,United Kingdom,Bath,True,outlook.com
15296,United Kingdom,Manchester,False,gmail.com
15311,United Kingdom,Leeds,True,cust15311-trading.co.uk
15356,United Kingdom,Canterbury,True,hotmail.co.uk
15379,United Kingdom,Llandudno,False,hotmail.co.uk
15400,United Kingdom,Sheffield,False,icloud.com
15468,United Kingdom,Glasgow,False,hotmail.co.uk
15502,United Kingdom,Nottingham,True,gmail.com
15533,United Kingdom,Newquay,True,gmail.com
15555,United Kingdom,Manchester,True,gmail.com
15601,United Kingdom,Bristol,True,outlook.com
15621,United Kingdom,Leeds,True,hotmail.co.uk
15681,United Kingdom,Newquay,True,outlook.com
15694,United Kingdom,London,False,outlook.com
15738,United Kingdom,Sheffield,True,outlook.com
15755,United Kingdom,London,False,gmail.com
15796,United Kingdom,Newquay,False,hotmail.co.uk
15804,United Kingdom,Carlisle,False,btinternet.com
15808,United Kingdom,Birmingham,False,gmail.com
15826,United Kingdom,Nottingham,False,gmail.com
15881,United Kingdom,Bath,False,gmail.com
15901,United Kingdom,Newcastle upon Tyne,True,sky.com
15981,United Kingdom,Truro,True,gmail.com
15985,United Kingdom,Sheffield,False,hotmail.co.uk
15993,United Kingdom,Canterbury,False,icloud.com
15996,United Kingdom,York,False,hotmail.co.uk
16013,United Kingdom,Sheffield,False,cust16013-wholesale.co.uk
16029,United Kingdom,Glasgow,False,cust16029-wholesale.co.uk
16033,United Kingdom,Llandudno,True,icloud.com
16066,United Kingdom,Belfast,False,btinternet.com
16094,United Kingdom,Bangor,True,gmail.com
16133,United Kingdom,Canterbury,False,hotmail.co.uk
16145,United Kingdom,Sheffield,False,outlook.com
16161,United Kingdom,Bath,False,outlook.com
16163,United Kingdom,Newcastle upon Tyne,False,icloud.com
16169,United Kingdom,Belfast,False,gmail.com
16209,United Kingdom,Leeds,True,outlook.com
16249,United Kingdom,Bristol,True,yahoo.co.uk
16324,United Kingdom,Sheffield,True,sky.com
16359,United Kingdom,Bath,True,icloud.com
16362,United Kingdom,Edinburgh,True,gmail.com
16431,United Kingdom,Leicester,False,hotmail.co.uk
16440,United Kingdom,Newcastle upon Tyne,False,yahoo.co.uk
16446,United Kingdom,Manchester,True,cust16446-solutions.co.uk
16463,United Kingdom,Leicester,False,hotmail.co.uk
16470,United Kingdom,Newquay,True,outlook.com
16475,United Kingdom,Truro,False,hotmail.co.uk
16477,United Kingdom,Inverness,False,outlook.com
16513,United Kingdom,Bath,False,yahoo.co.uk
16523,United Kingdom,Nottingham,False,gmail.com
16572,United Kingdom,Birmingham,True,gmail.com
16618,United Kingdom,Birmingham,False,icloud.com
16637,United Kingdom,Sheffield,True,sky.com
16638,United Kingdom,Truro,False,hotmail.co.uk
16652,United Kingdom,Manchester,False,gmail.com
16660,United Kingdom,Perth,False,yahoo.co.uk
16710,United Kingdom,Liverpool,False,gmail.com
16717,United Kingdom,Leeds,True,gmail.com
16764,United Kingdom,Bath,False,hotmail.co.uk
16790,United Kingdom,Shrewsbury,True,hotmail.co.uk
16794,United Kingdom,Shrewsbury,True,outlook.com
16851,United Kingdom,Inverness,False,sky.com
16861,United Kingdom,Belfast,False,gmail.com
16871,United Kingdom,London,False,gmail.com
16892,United Kingdom,Llandudno,False,gmail.com
16919,United Kingdom,Lancaster,True,sky.com
16938,United Kingdom,Sheffield,False,hotmail.co.uk
17001,United Kingdom,Glasgow,False,btinternet.com
17017,United Kingdom,Leeds,False,gmail.com
17064,United Kingdom,Nottingham,True,outlook.com
17069,United Kingdom,London,False,outlook.com
17071,United Kingdom,Edinburgh,False,outlook.com
17075,United Kingdom,Bath,True,hotmail.co.uk
17091,United Kingdom,Glasgow,False,outlook.com
17096,United Kingdom,Truro,False,sky.com
17166,United Kingdom,Inverness,True,gmail.com
17183,United Kingdom,York,True,hotmail.co.uk
17190,United Kingdom,York,False,gmail.com
17287,United Kingdom,Bristol,True,yahoo.co.uk
17314,United Kingdom,Sheffield,True,outlook.com
17323,United Kingdom,Newcastle upon Tyne,False,icloud.com
17365,United Kingdom,Llandudno,True,outlook.com
17402,United Kingdom,Glasgow,False,gmail.com
17419,United Kingdom,Cardiff,False,outlook.com
17428,United Kingdom,Inverness,False,icloud.com
17450,United Kingdom,York,True,cust17450-supplies.co.uk
17469,United Kingdom,Leeds,False,hotmail.co.uk
17504,United Kingdom,Birmingham,False,gmail.com
17509,United Kingdom,Nottingham,False,gmail.com
17526,United Kingdom,Birmingham,False,yahoo.co.uk
17579,United Kingdom,Birmingham,False,hotmail.co.uk
17644,United Kingdom,Bristol,False,yahoo.co.uk
17667,United Kingdom,Birmingham,False,outlook.com
17669,United Kingdom,Shrewsbury,False,gmail.com
17675,United Kingdom,Manchester,True,cust17675-solutions.co.uk
17677,United Kingdom,Lancaster,True,yahoo.co.uk
17682,United Kingdom,Belfast,True,hotmail.co.uk
17693,United Kingdom,Shrewsbury,False,outlook.com
17705,United Kingdom,Liverpool,False,btinternet.com
17730,United Kingdom,Leicester,True,outlook.com
17731,United Kingdom,Leeds,True,sky.com
17735,United Kingdom,Liverpool,False,gmail.com
17770,United Kingdom,Sheffield,False,hotmail.co.uk
17813,United Kingdom,Manchester,False,outlook.com
17819,United Kingdom,London,False,outlook.com
17838,United Kingdom,Bangor,False,gmail.com
17841,United Kingdom,Liverpool,False,cust17841-trading.co.uk
17857,United Kingdom,London,False,cust17857-wholesale.co.uk
17865,United Kingdom,Sheffield,False,gmail.com
17883,United Kingdom,London,False,hotmail.co.uk
17940,United Kingdom,Truro,False,gmail.com
17949,United Kingdom,Edinburgh,True,cust17949-wholesale.co.uk
17961,United Kingdom,Sheffield,True,hotmail.co.uk
18044,United Kingdom,Inverness,False,hotmail.co.uk
18061,United Kingdom,Canterbury,True,hotmail.co.uk
18073,United Kingdom,Sheffield,True,gmail.com
18075,United Kingdom,Edinburgh,False,hotmail.co.uk
18097,United Kingdom,Manchester,False,outlook.com
18102,United Kingdom,Liverpool,False,cust18102-wholesale.co.uk
18109,United Kingdom,Liverpool,True,gmail.com
18198,United Kingdom,Birmingham,True,icloud.com
18204,United Kingdom,Bristol,True,sky.com
18229,United Kingdom,Newcastle upon Tyne,False,gmail.com
