StockCode,product_name,total_order_volume,total_revenue,num_customers
85099F,Strawberry Jumbo Bag – Extra-large reusable tote bag with a strawberry print.,4758,8529.110000000006,45
22969,Homemade Jam-Scented Candles – Hand-poured candles infused with fruity jam-inspired fragrances.,4608,6876.599999999997,49
22151,White Heart Place Setting – Elegant dining table setting featuring a white heart motif for charming tabletop decor.,4574,1765.559999999999,25
22961,Printed Jam Making Set – Home Canning Kit with Printed Recipe Cards and Labeling Sheets.,4465,6011.049999999996,64
21166,Cook with Wine Metal Sign – Rustic kitchen decor plaque featuring the 'Cook with Wine' slogan; wall-hanging metal sign for kitchens or bars.,4464,9049.449999999997,31
22326,Woodland Round Snack Boxes (4-Pack) – Four round snack containers with woodland-themed design; stackable and durable.,4395,11467.650000000009,31
23199,"Jumbo Bag of Apples – Large bag of assorted fresh apples, perfect for snacking, baking and cooking.",4374,8058.020000000003,50
20719,Woodland Charlotte Bag – Forest-themed tote bag with woodland motif.,4340,3237.769999999998,37
22616,London Tissues (12-Pack) – Ultra-soft facial tissues for everyday home and office use.,4318,1159.5200000000002,23
22188,Black Heart Pattern Card Holder – Slim card holder featuring a black heart motif.,4280,10096.960000000006,13
23209,Vintage Doily Lunch Bag – Insulated lunch tote with retro doily pattern.,4249,6566.849999999999,65
84945,Multi Colour Silver T-Light Holder – Decorative tea-light holder with multicolour accents and a silver finish.,4242,3225.059999999999,30
23206,"Apple Design Lunch Bag – Insulated, reusable lunch bag featuring an apple motif.",4231,6467.149999999999,57
84755,Colour Glass Tealight Holder (Hanging) – Multicoloured glass tealight holder designed to hang for decorative ambient lighting.,4192,2515.200000000003,44
22993,Pantry Jelly Moulds Set (4-Piece) – Food-grade silicone moulds for making jellies and desserts.,4098,4791.500000000001,55
20724,Red Retrospot Charlotte Bag – Tote bag featuring the Red Retrospot print.,4081,3072.349999999997,42
84991,Teatime Fairy Cupcake Cases (60-Pack) – Whimsical fairy-themed paper baking cups for cupcakes.,3942,1860.7800000000009,53
71477,Coloured Glass Star Tealight Holder – Star-shaped tealight candle holder crafted from coloured glass; decorative home décor piece.,3876,11188.68,20
82484,Antique White Finish Wooden Blackboard – Chalkboard with a rustic wooden frame for home or classroom use.,3858,19834.649999999998,36
21931,"Suki Jumbo Storage Bag – Extra-large storage bag for clothing, linens, and bulky items.",3812,6918.630000000002,45
21733,Red Hanging Heart Tealight Holder – Heart-shaped tealight candle holder designed to hang as wall décor or from a hook for ambient lighting.,3792,11542.36,47
