section,customer_id,quarter,order_volume,revenue_gbp,lifetime_revenue_gbp,country,city,marketing_opt_in,email_domain
National,13301,Q1,1,173.91,618.09,United Kingdom,Lancaster,False,cust13408-wholesale.co.uk
National,13301,Q2,1,153.86,618.09,United Kingdom,Lancaster,False,cust13408-wholesale.co.uk
National,13301,Q3,2,290.32,618.09,United Kingdom,Lancaster,False,cust13408-wholesale.co.uk
National,13301,Q4,0,0.0,618.09,United Kingdom,Lancaster,False,cust13408-wholesale.co.uk
National,13313,Q1,1,307.3,1555.32,United Kingdom,Edinburgh,False,outlook.com
National,13313,Q2,1,302.44,1555.32,United Kingdom,Edinburgh,False,outlook.com
National,13313,Q3,1,308.6,1555.32,United Kingdom,Edinburgh,False,outlook.com
National,13313,Q4,2,636.98,1555.32,United Kingdom,Edinburgh,False,outlook.com
National,13319,Q1,5,1644.0,10845.55,United Kingdom,York,False,gmail.com
National,13319,Q2,5,2388.36,10845.55,United Kingdom,York,False,gmail.com
National,13319,Q3,5,1807.03,10845.55,United Kingdom,York,False,gmail.com
National,13319,Q4,7,3455.08,10845.55,United Kingdom,York,False,gmail.com
National,13396,Q1,1,387.27,1360.99,United Kingdom,Birmingham,True,gmail.com
National,13396,Q2,0,0.0,1360.99,United Kingdom,Birmingham,True,gmail.com
National,13396,Q3,0,0.0,1360.99,United Kingdom,Birmingham,True,gmail.com
National,13396,Q4,1,973.72,1360.99,United Kingdom,Birmingham,True,gmail.com
National,13408,Q1,8,4124.49,28117.04,United Kingdom,Birmingham,False,gmail.com
National,13408,Q2,18,5755.14,28117.04,United Kingdom,Birmingham,False,gmail.com
National,13408,Q3,15,7470.75,28117.04,United Kingdom,Birmingham,False,gmail.com
National,13408,Q4,16,7735.46,28117.04,United Kingdom,Birmingham,False,gmail.com
National,13488,Q1,3,2727.79,8968.31,United Kingdom,Nottingham,True,icloud.com
National,13488,Q2,2,1420.72,8968.31,United Kingdom,Nottingham,True,icloud.com
National,13488,Q3,5,1836.76,8968.31,United Kingdom,Nottingham,True,icloud.com
National,13488,Q4,2,1601.12,8968.31,United Kingdom,Nottingham,True,icloud.com
National,13549,Q1,0,0.0,918.2,United Kingdom,Liverpool,True,icloud.com
National,13549,Q2,3,512.55,918.2,United Kingdom,Liverpool,True,icloud.com
National,13549,Q3,2,249.5,918.2,United Kingdom,Liverpool,True,icloud.com
National,13549,Q4,2,156.15,918.2,United Kingdom,Liverpool,True,icloud.com
National,13571,Q1,1,145.27,2092.32,United Kingdom,Glasgow,True,icloud.com
National,13571,Q2,3,362.04,2092.32,United Kingdom,Glasgow,True,icloud.com
National,13571,Q3,3,576.52,2092.32,United Kingdom,Glasgow,True,icloud.com
National,13571,Q4,5,1008.49,2092.32,United Kingdom,Glasgow,True,icloud.com
National,13588,Q1,1,113.3,2478.95,United Kingdom,Leeds,False,outlook.com
National,13588,Q2,0,0.0,2478.95,United Kingdom,Leeds,False,outlook.com
National,13588,Q3,4,1492.64,2478.95,United Kingdom,Leeds,False,outlook.com
National,13588,Q4,4,873.01,2478.95,United Kingdom,Leeds,False,outlook.com
National,13593,Q1,3,1022.95,2037.08,United Kingdom,Belfast,False,cust13694-group.co.uk
National,13593,Q2,1,368.3,2037.08,United Kingdom,Belfast,False,cust13694-group.co.uk
National,13593,Q3,1,645.83,2037.08,United Kingdom,Belfast,False,cust13694-group.co.uk
National,13593,Q4,0,0.0,2037.08,United Kingdom,Belfast,False,cust13694-group.co.uk
National,13599,Q1,2,949.71,5153.67,United Kingdom,Carlisle,True,hotmail.co.uk
National,13599,Q2,3,703.11,5153.67,United Kingdom,Carlisle,True,hotmail.co.uk
National,13599,Q3,3,828.22,5153.67,United Kingdom,Carlisle,True,hotmail.co.uk
National,13599,Q4,11,2319.79,5153.67,United Kingdom,Carlisle,True,hotmail.co.uk
National,13668,Q1,5,2056.85,6363.59,United Kingdom,Canterbury,False,outlook.com
National,13668,Q2,7,2011.19,6363.59,United Kingdom,Canterbury,False,outlook.com
National,13668,Q3,3,689.1700000000001,6363.59,United Kingdom,Canterbury,False,outlook.com
National,13668,Q4,5,1428.72,6363.59,United Kingdom,Canterbury,False,outlook.com
National,13692,Q1,0,0.0,1488.32,United Kingdom,Perth,False,gmail.com
National,13692,Q2,2,871.58,1488.32,United Kingdom,Perth,False,gmail.com
National,13692,Q3,0,0.0,1488.32,United Kingdom,Perth,False,gmail.com
National,13692,Q4,1,616.74,1488.32,United Kingdom,Perth,False,gmail.com
National,13694,Q1,11,15962.34,65039.62,United Kingdom,Leeds,True,cust13777-trading.co.uk
National,13694,Q2,16,15400.44,65039.62,United Kingdom,Leeds,True,cust13777-trading.co.uk
National,13694,Q3,13,17267.24,65039.62,United Kingdom,Leeds,True,cust13777-trading.co.uk
National,13694,Q4,8,13512.56,65039.62,United Kingdom,Leeds,True,cust13777-trading.co.uk
National,13700,Q1,3,457.05,2265.12,United Kingdom,London,False,gmx.de
National,13700,Q2,3,788.75,2265.12,United Kingdom,London,False,gmx.de
National,13700,Q3,2,405.46,2265.12,United Kingdom,London,False,gmx.de
National,13700,Q4,2,613.86,2265.12,United Kingdom,London,False,gmx.de
National,13742,Q1,3,1171.33,3131.02,United Kingdom,Sheffield,False,gmail.com
National,13742,Q2,7,1477.39,3131.02,United Kingdom,Sheffield,False,gmail.com
National,13742,Q3,1,142.9,3131.02,United Kingdom,Sheffield,False,gmail.com
National,13742,Q4,1,339.4,3131.02,United Kingdom,Sheffield,False,gmail.com
National,13756,Q1,0,0.0,5189.52,United Kingdom,Leeds,False,gmail.com
National,13756,Q2,2,707.4100000000001,5189.52,United Kingdom,Leeds,False,gmail.com
National,13756,Q3,3,1260.52,5189.52,United Kingdom,Leeds,False,gmail.com
National,13756,Q4,6,2217.19,5189.52,United Kingdom,Leeds,False,gmail.com
National,13777,Q1,7,2361.77,25977.16,United Kingdom,Sheffield,False,btinternet.com
National,13777,Q2,5,2439.57,25977.16,United Kingdom,Sheffield,False,btinternet.com
National,13777,Q3,5,1258.38,25977.16,United Kingdom,Sheffield,False,btinternet.com
National,13777,Q4,6,12955.66,25977.16,United Kingdom,Sheffield,False,btinternet.com
National,13870,Q1,1,544.03,2770.94,United Kingdom,Leicester,False,outlook.com
National,13870,Q2,2,353.97,2770.94,United Kingdom,Leicester,False,outlook.com
National,13870,Q3,2,1281.47,2770.94,United Kingdom,Leicester,False,outlook.com
National,13870,Q4,3,591.47,2770.94,United Kingdom,Leicester,False,outlook.com
National,13924,Q1,0,0.0,1838.85,United Kingdom,Liverpool,False,icloud.com
National,13924,Q2,0,0.0,1838.85,United Kingdom,Liverpool,False,icloud.com
National,13924,Q3,1,679.03,1838.85,United Kingdom,Liverpool,False,icloud.com
National,13924,Q4,5,1159.82,1838.85,United Kingdom,Liverpool,False,icloud.com
National,13946,Q1,1,209.85,561.57,United Kingdom,Inverness,False,btinternet.com
National,13946,Q2,1,276.12,561.57,United Kingdom,Inverness,False,btinternet.com
National,13946,Q3,1,75.6,561.57,United Kingdom,Inverness,False,btinternet.com
National,13946,Q4,0,0.0,561.57,United Kingdom,Inverness,False,btinternet.com
National,13949,Q1,0,0.0,2427.32,United Kingdom,Sheffield,True,outlook.com
National,13949,Q2,0,0.0,2427.32,United Kingdom,Sheffield,True,outlook.com
National,13949,Q3,2,909.26,2427.32,United Kingdom,Sheffield,True,outlook.com
National,13949,Q4,4,1518.06,2427.32,United Kingdom,Sheffield,True,outlook.com
National,13975,Q1,1,678.76,2526.28,United Kingdom,Edinburgh,False,outlook.com
National,13975,Q2,1,282.85,2526.28,United Kingdom,Edinburgh,False,outlook.com
National,13975,Q3,2,536.1,2526.28,United Kingdom,Edinburgh,False,outlook.com
National,13975,Q4,2,1028.57,2526.28,United Kingdom,Edinburgh,False,outlook.com
National,13999,Q1,2,609.08,3901.81,United Kingdom,Edinburgh,False,icloud.com
National,13999,Q2,2,650.69,3901.81,United Kingdom,Edinburgh,False,icloud.com
National,13999,Q3,4,1307.1,3901.81,United Kingdom,Edinburgh,False,icloud.com
National,13999,Q4,3,1032.84,3901.81,United Kingdom,Edinburgh,False,icloud.com
National,14030,Q1,1,307.23,2360.09,United Kingdom,York,False,hotmail.co.uk
National,14030,Q2,2,451.29,2360.09,United Kingdom,York,False,hotmail.co.uk
National,14030,Q3,2,381.79,2360.09,United Kingdom,York,False,hotmail.co.uk
National,14030,Q4,1,543.28,2360.09,United Kingdom,York,False,hotmail.co.uk
National,14060,Q1,4,1197.42,6140.42,United Kingdom,Truro,True,outlook.com
National,14060,Q2,4,1323.64,6140.42,United Kingdom,Truro,True,outlook.com
National,14060,Q3,5,1740.5,6140.42,United Kingdom,Truro,True,outlook.com
National,14060,Q4,3,1004.82,6140.42,United Kingdom,Truro,True,outlook.com
National,14083,Q1,1,14.4,1018.43,United Kingdom,Shrewsbury,False,hotmail.co.uk
National,14083,Q2,1,15.18,1018.43,United Kingdom,Shrewsbury,False,hotmail.co.uk
National,14083,Q3,2,59.45,1018.43,United Kingdom,Shrewsbury,False,hotmail.co.uk
National,14083,Q4,2,469.51,1018.43,United Kingdom,Shrewsbury,False,hotmail.co.uk
National,14085,Q1,6,1310.67,4448.54,United Kingdom,Llandudno,False,yahoo.co.uk
National,14085,Q2,2,459.45,4448.54,United Kingdom,Llandudno,False,yahoo.co.uk
National,14085,Q3,1,287.83,4448.54,United Kingdom,Llandudno,False,yahoo.co.uk
National,14085,Q4,6,1200.35,4448.54,United Kingdom,Llandudno,False,yahoo.co.uk
National,14107,Q1,2,812.03,2703.23,United Kingdom,Belfast,False,hotmail.co.uk
National,14107,Q2,2,661.5699999999999,2703.23,United Kingdom,Belfast,False,hotmail.co.uk
National,14107,Q3,1,625.1,2703.23,United Kingdom,Belfast,False,hotmail.co.uk
National,14107,Q4,1,241.29,2703.23,United Kingdom,Belfast,False,hotmail.co.uk
National,14110,Q1,1,904.26,5683.150000000001,United Kingdom,Llandudno,False,icloud.com
National,14110,Q2,2,1176.98,5683.150000000001,United Kingdom,Llandudno,False,icloud.com
National,14110,Q3,4,2084.37,5683.150000000001,United Kingdom,Llandudno,False,icloud.com
National,14110,Q4,5,1517.54,5683.150000000001,United Kingdom,Llandudno,False,icloud.com
National,14111,Q1,0,0.0,692.85,United Kingdom,Leeds,False,outlook.com
National,14111,Q2,1,94.2,692.85,United Kingdom,Leeds,False,outlook.com
National,14111,Q3,2,201.3,692.85,United Kingdom,Leeds,False,outlook.com
National,14111,Q4,1,397.35,692.85,United Kingdom,Leeds,False,outlook.com
National,14112,Q1,1,617.1,2915.15,United Kingdom,Cardiff,False,cust14156-solutions.ie
National,14112,Q2,2,535.4,2915.15,United Kingdom,Cardiff,False,cust14156-solutions.ie
National,14112,Q3,1,748.32,2915.15,United Kingdom,Cardiff,False,cust14156-solutions.ie
National,14112,Q4,3,1014.33,2915.15,United Kingdom,Cardiff,False,cust14156-solutions.ie
National,14132,Q1,0,0.0,3586.03,United Kingdom,Carlisle,False,hotmail.co.uk
National,14132,Q2,2,607.9200000000001,3586.03,United Kingdom,Carlisle,False,hotmail.co.uk
National,14132,Q3,4,1292.28,3586.03,United Kingdom,Carlisle,False,hotmail.co.uk
National,14132,Q4,5,1685.83,3586.03,United Kingdom,Carlisle,False,hotmail.co.uk
National,14157,Q1,1,277.17,432.88,United Kingdom,Nottingham,False,outlook.com
National,14157,Q2,0,0.0,432.88,United Kingdom,Nottingham,False,outlook.com
National,14157,Q3,0,0.0,432.88,United Kingdom,Nottingham,False,outlook.com
National,14157,Q4,1,155.71,432.88,United Kingdom,Nottingham,False,outlook.com
National,14177,Q1,0,0.0,559.41,United Kingdom,Edinburgh,True,outlook.com
National,14177,Q2,1,118.08,559.41,United Kingdom,Edinburgh,True,outlook.com
National,14177,Q3,3,441.33,559.41,United Kingdom,Edinburgh,True,outlook.com
National,14177,Q4,0,0.0,559.41,United Kingdom,Edinburgh,True,outlook.com
National,14180,Q1,8,1811.57,4748.52,United Kingdom,Carlisle,False,outlook.com
National,14180,Q2,5,894.35,4748.52,United Kingdom,Carlisle,False,outlook.com
National,14180,Q3,5,656.75,4748.52,United Kingdom,Carlisle,False,outlook.com
National,14180,Q4,3,489.6,4748.52,United Kingdom,Carlisle,False,outlook.com
National,14188,Q1,1,398.0,2054.36,United Kingdom,Sheffield,True,sky.com
National,14188,Q2,1,362.9,2054.36,United Kingdom,Sheffield,True,sky.com
National,14188,Q3,3,957.0600000000001,2054.36,United Kingdom,Sheffield,True,sky.com
National,14188,Q4,1,336.4,2054.36,United Kingdom,Sheffield,True,sky.com
National,14209,Q1,2,768.55,2073.43,United Kingdom,Lancaster,False,outlook.com
National,14209,Q2,1,314.6,2073.43,United Kingdom,Lancaster,False,outlook.com
National,14209,Q3,2,793.1800000000001,2073.43,United Kingdom,Lancaster,False,outlook.com
National,14209,Q4,1,197.1,2073.43,United Kingdom,Lancaster,False,outlook.com
National,14232,Q1,1,693.1800000000001,2048.07,United Kingdom,Truro,True,gmail.com
National,14232,Q2,1,310.79,2048.07,United Kingdom,Truro,True,gmail.com
National,14232,Q3,2,569.3599999999999,2048.07,United Kingdom,Truro,True,gmail.com
National,14232,Q4,1,474.74,2048.07,United Kingdom,Truro,True,gmail.com
National,14234,Q1,0,0.0,775.4599999999999,United Kingdom,Liverpool,False,icloud.com
National,14234,Q2,0,0.0,775.4599999999999,United Kingdom,Liverpool,False,icloud.com
National,14234,Q3,0,0.0,775.4599999999999,United Kingdom,Liverpool,False,icloud.com
National,14234,Q4,4,775.4599999999999,775.4599999999999,United Kingdom,Liverpool,False,icloud.com
National,14243,Q1,2,667.8,2588.77,United Kingdom,Liverpool,True,outlook.com
National,14243,Q2,2,636.3599999999999,2588.77,United Kingdom,Liverpool,True,outlook.com
National,14243,Q3,2,529.79,2588.77,United Kingdom,Liverpool,True,outlook.com
National,14243,Q4,2,282.82,2588.77,United Kingdom,Liverpool,True,outlook.com
National,14258,Q1,3,5268.26,12669.98,United Kingdom,Edinburgh,True,cust14298-wholesale.co.uk
National,14258,Q2,3,2339.56,12669.98,United Kingdom,Edinburgh,True,cust14298-wholesale.co.uk
National,14258,Q3,2,3690.56,12669.98,United Kingdom,Edinburgh,True,cust14298-wholesale.co.uk
National,14258,Q4,1,1371.6,12669.98,United Kingdom,Edinburgh,True,cust14298-wholesale.co.uk
National,14298,Q1,13,9657.04,51527.3,United Kingdom,Edinburgh,False,yahoo.co.uk
National,14298,Q2,13,16814.17,51527.3,United Kingdom,Edinburgh,False,yahoo.co.uk
National,14298,Q3,10,13076.79,51527.3,United Kingdom,Edinburgh,False,yahoo.co.uk
National,14298,Q4,3,7289.84,51527.3,United Kingdom,Edinburgh,False,yahoo.co.uk
National,14360,Q1,0,0.0,2128.23,United Kingdom,Bangor,False,sky.com
National,14360,Q2,0,0.0,2128.23,United Kingdom,Bangor,False,sky.com
National,14360,Q3,1,1134.69,2128.23,United Kingdom,Bangor,False,sky.com
National,14360,Q4,3,993.54,2128.23,United Kingdom,Bangor,False,sky.com
National,14383,Q1,0,0.0,1247.69,United Kingdom,Liverpool,False,sky.com
National,14383,Q2,1,242.09,1247.69,United Kingdom,Liverpool,False,sky.com
National,14383,Q3,0,0.0,1247.69,United Kingdom,Liverpool,False,sky.com
National,14383,Q4,2,1005.6,1247.69,United Kingdom,Liverpool,False,sky.com
National,14407,Q1,1,357.18,2157.73,United Kingdom,Belfast,False,hotmail.co.uk
National,14407,Q2,1,645.5,2157.73,United Kingdom,Belfast,False,hotmail.co.uk
National,14407,Q3,4,1155.05,2157.73,United Kingdom,Belfast,False,hotmail.co.uk
National,14407,Q4,0,0.0,2157.73,United Kingdom,Belfast,False,hotmail.co.uk
National,14415,Q1,2,739.83,5900.280000000001,United Kingdom,Cardiff,True,hotmail.co.uk
National,14415,Q2,3,1144.31,5900.280000000001,United Kingdom,Cardiff,True,hotmail.co.uk
National,14415,Q3,3,1042.36,5900.280000000001,United Kingdom,Cardiff,True,hotmail.co.uk
National,14415,Q4,4,2098.6,5900.280000000001,United Kingdom,Cardiff,True,hotmail.co.uk
National,14426,Q1,3,1495.58,4481.67,United Kingdom,Leeds,False,hotmail.co.uk
National,14426,Q2,1,714.35,4481.67,United Kingdom,Leeds,False,hotmail.co.uk
National,14426,Q3,2,675.65,4481.67,United Kingdom,Leeds,False,hotmail.co.uk
National,14426,Q4,4,1596.09,4481.67,United Kingdom,Leeds,False,hotmail.co.uk
National,14441,Q1,1,356.84,1712.89,United Kingdom,Leeds,False,gmail.com
National,14441,Q2,0,0.0,1712.89,United Kingdom,Leeds,False,gmail.com
National,14441,Q3,1,340.56,1712.89,United Kingdom,Leeds,False,gmail.com
National,14441,Q4,2,1015.49,1712.89,United Kingdom,Leeds,False,gmail.com
National,14472,Q1,3,1048.3,1936.84,United Kingdom,Liverpool,True,outlook.com
National,14472,Q2,1,201.45,1936.84,United Kingdom,Liverpool,True,outlook.com
National,14472,Q3,3,407.21,1936.84,United Kingdom,Liverpool,True,outlook.com
National,14472,Q4,0,0.0,1936.84,United Kingdom,Liverpool,True,outlook.com
National,14503,Q1,0,0.0,3543.26,United Kingdom,Stirling,False,gmail.com
National,14503,Q2,1,597.07,3543.26,United Kingdom,Stirling,False,gmail.com
National,14503,Q3,1,687.38,3543.26,United Kingdom,Stirling,False,gmail.com
National,14503,Q4,4,2258.81,3543.26,United Kingdom,Stirling,False,gmail.com
National,14530,Q1,2,1146.91,2925.91,United Kingdom,Perth,False,outlook.com
National,14530,Q2,1,413.93,2925.91,United Kingdom,Perth,False,outlook.com
National,14530,Q3,2,985.28,2925.91,United Kingdom,Perth,False,outlook.com
National,14530,Q4,1,379.79,2925.91,United Kingdom,Perth,False,outlook.com
National,14534,Q1,5,1096.88,4447.05,United Kingdom,York,False,btinternet.com
National,14534,Q2,5,1186.71,4447.05,United Kingdom,York,False,btinternet.com
National,14534,Q3,4,752.0999999999999,4447.05,United Kingdom,York,False,btinternet.com
National,14534,Q4,4,1411.36,4447.05,United Kingdom,York,False,btinternet.com
National,14560,Q1,7,756.68,2237.77,United Kingdom,Belfast,False,yahoo.co.uk
National,14560,Q2,2,84.15,2237.77,United Kingdom,Belfast,False,yahoo.co.uk
National,14560,Q3,5,316.2,2237.77,United Kingdom,Belfast,False,yahoo.co.uk
National,14560,Q4,7,672.57,2237.77,United Kingdom,Belfast,False,yahoo.co.uk
National,14606,Q1,26,3954.18,12156.65,United Kingdom,Nottingham,False,cust14646-bv.nl
National,14606,Q2,22,2517.2,12156.65,United Kingdom,Nottingham,False,cust14646-bv.nl
National,14606,Q3,20,2271.87,12156.65,United Kingdom,Nottingham,False,cust14646-bv.nl
National,14606,Q4,17,2166.74,12156.65,United Kingdom,Nottingham,False,cust14646-bv.nl
National,14667,Q1,3,784.3100000000001,9241.2,United Kingdom,Sheffield,False,gmail.com
National,14667,Q2,6,2028.42,9241.2,United Kingdom,Sheffield,False,gmail.com
National,14667,Q3,5,2329.48,9241.2,United Kingdom,Sheffield,False,gmail.com
National,14667,Q4,6,2100.89,9241.2,United Kingdom,Sheffield,False,gmail.com
National,14713,Q1,3,483.76,2666.36,United Kingdom,Shrewsbury,True,gmail.com
