InvoiceLineID,InvoiceNo,StockCode,Quantity,LineUnitPrice
86,536557,46000R,2,1.45
87,536557,46000S,1,1.45
88,536557,22731,1,1.25
89,536557,21258,1,12.75
90,536557,21041,1,2.95
91,536557,84920,1,3.75
92,536557,22173,1,2.95
93,536557,22953,1,1.25
94,536557,84508A,1,2.55
95,536557,22471,1,4.95
96,536557,21935,4,1.65
97,536557,21670,6,1.25
98,536557,20668,24,0.12
99,536557,21672,1,1.25
100,536557,22553,1,1.65
101,536557,22041,4,2.55
102,536557,20972,2,1.25
103,536557,22568,1,3.75
104,536557,22570,1,3.75
105,536557,22730,1,3.75
106,536557,20749,1,7.95
107,536557,22785,1,6.75
108,536557,22786,2,5.95
109,536557,85064,2,5.45
110,536557,22212,1,2.1
111,536557,21486,2,3.75
112,536557,22114,2,3.95
113,536557,21485,1,4.95
114,536557,84029E,1,3.75
115,536557,22678,3,1.25
116,536557,22686,1,1.25
117,536557,22468,1,6.75
118,536557,85232B,1,4.95
119,536557,21479,5,3.75
120,536557,84029G,2,3.75
121,536557,22837,5,4.65
122,536557,22112,2,4.95
123,536557,22835,1,4.65
124,536557,21485,2,4.95
125,536557,22111,7,4.95
126,536557,22667,1,2.95
127,536557,22666,1,2.95
128,536557,21259,4,5.95
129,536557,22941,1,8.5
130,536557,82484,1,6.45
131,536557,84685,1,3.75
132,536557,21363,1,4.95
133,536557,85232B,1,4.95
134,536557,22755,11,0.85
135,536557,20616,2,2.1
136,536557,22451,3,3.35
137,536557,22114,1,3.95
138,536557,22753,9,0.85
139,536557,79066K,1,0.85
140,536557,22794,1,7.95
141,536557,22592,1,3.75
142,536557,84352,1,16.95
143,536557,79321,24,4.25
144,536557,22694,2,2.1
145,536557,21098,2,1.25
146,536557,22470,2,2.95
147,536557,22795,2,6.75
148,536557,20963,1,1.25
149,536557,22278,1,4.95
150,536561,22318,6,2.95
151,536561,22551,12,1.65
152,536561,22748,6,2.1
153,536561,22745,6,2.1
154,536561,21731,12,1.65
155,536561,22466,12,1.95
156,536561,20972,12,1.25
157,536561,22274,6,2.95
158,536561,22750,4,3.75
159,536561,22780,8,4.25
160,536561,22779,8,4.25
161,536561,22866,12,2.1
162,536561,22867,12,2.1
163,536561,22865,12,2.1
164,536561,22632,12,2.1
165,536575,21864,72,1.69
166,536575,21107,72,2.55
167,536575,21232,144,1.25
168,536575,84050,72,1.25
169,536575,85099B,70,1.65
170,536575,85123A,128,2.55
171,536575,15056P,48,4.6
172,536575,22095,252,1.25
173,536576,22041,144,2.1
174,536576,85174,16,4.25
175,536576,84050,96,1.25
176,536576,84029E,96,2.95
177,536576,82615,36,2.55
178,536576,21156,12,1.65
179,536576,20727,60,1.45
180,536576,35004C,120,4.65
181,536576,85099B,30,1.65
182,536576,85123A,128,2.55
183,536576,22095,72,1.25
184,536576,85038,72,1.69
185,536576,15056N,36,4.25
186,536576,20971,144,1.06
187,536576,21354,12,1.05
188,536576,21107,48,2.55
189,536577,20725,60,1.45
190,536577,21232,144,1.25
191,536577,22646,144,1.25
192,536577,22147,40,1.25
193,536579,21232,216,1.06
194,536579,20727,60,1.45
195,536581,85099B,200,1.65
196,536583,21156,120,1.65
197,536584,84029E,384,2.95
198,536586,22846,8,14.95
199,536586,22848,8,14.95
200,536586,22726,8,3.75
201,536586,22728,8,3.75
202,536586,22725,4,3.75
203,536586,22729,4,3.75
204,536586,22730,4,3.75
205,536588,22960,6,4.25
206,536588,22961,12,1.45
207,536588,22962,12,0.85
208,536588,22963,12,0.85
209,536588,21777,1,7.95
210,536588,22666,12,2.95
211,536588,22667,12,2.95
212,536588,84997A,6,3.75
213,536588,84997B,6,3.75
214,536588,84997C,12,3.75
215,536588,84997D,12,3.75
216,536591,21427,1,2.1
217,536591,22135,1,0.42
218,536591,90214M,1,1.25
219,536591,90214V,1,1.25
220,536591,90214S,1,1.25
221,536591,90214J,2,1.25
222,536591,22386,1,1.95
223,536591,22378,1,2.1
224,536591,20750,1,7.95
225,536591,21888,1,3.75
226,536591,22321,1,0.85
227,536591,21789,1,0.85
228,536591,21238,1,0.85
229,536591,21629,1,7.95
230,536591,22379,1,2.1
231,536591,72807C,2,4.25
232,536591,22497,1,4.25
233,536591,21850,1,4.95
234,536591,20978,2,1.25
235,536591,20768,1,2.55
236,536591,22081,1,1.65
237,536591,20780,1,5.49
238,536591,51014C,12,0.85
239,536591,21398,1,2.1
240,536591,22476,2,4.95
241,536591,21643,3,1.25
242,536591,72741,27,1.45
243,536591,21620,1,3.75
244,536591,37449,1,9.95
245,536591,22260,5,0.85
246,536591,22136,1,1.65
247,536591,47591B,1,1.65
248,536591,21041,1,2.95
249,536591,21035,1,2.95
250,536591,85064,2,5.45
251,536591,22121,2,5.95
252,536591,21488,1,3.95
253,536591,21484,2,3.45
254,536591,22357,1,4.25
255,536591,21985,4,0.29
256,536599,22968,8,8.5
257,536599,22727,4,3.75
258,536599,22726,12,3.75
259,536599,84945,36,0.85
260,536599,20749,12,6.35
261,536599,21056,8,8.95
262,536618,20975,24,0.65
263,536618,21592,24,1.25
264,536618,22551,24,1.65
265,536618,22555,24,1.65
266,536618,22556,24,1.65
267,536618,22197,48,0.85
268,536618,22198,24,1.65
269,536618,22418,24,0.85
270,536618,21791,24,1.25
271,536618,21914,36,1.25
272,536618,21915,24,1.25
273,536618,22440,40,0.42
274,536618,22434,16,1.95
275,536618,22466,24,1.95
276,536618,22564,12,1.25
277,536618,84077,48,0.29
278,536618,84375,12,2.1
279,536618,22909,36,0.85
280,536618,22910,40,2.55
281,536618,22943,24,4.25
282,536618,22952,48,0.55
283,536619,22960,12,3.75
284,536619,22961,36,1.45
285,536622,22752,-2,8.5
286,536623,21355,24,1.25
287,536623,21756,6,5.95
288,536623,21518,12,0.42
289,536623,21520,12,0.42
290,536623,21506,12,0.42
291,536623,22023,12,0.42
292,536623,21519,12,0.42
293,536623,22037,12,0.42
294,536623,22029,12,0.42
295,536623,22030,12,0.42
296,536623,22027,12,0.42
297,536623,22983,24,0.42
298,536623,22718,24,0.42
299,536623,22717,12,0.42
300,536623,22712,24,0.42
301,536623,22028,12,0.42
302,536623,22815,24,0.42
303,536623,72818,24,0.85
304,536623,22697,12,2.95
305,536623,21670,12,1.25
306,536623,21669,12,1.25
307,536623,21671,12,1.25
308,536623,21673,12,1.25
309,536623,21672,12,1.25
310,536623,22771,12,1.25
311,536623,22775,12,1.25
312,536623,22772,12,1.25
313,536623,22774,12,1.25
314,536623,48185,4,7.95
315,536623,48187,4,7.95
316,536623,82494L,12,2.95
317,536623,22245,24,0.85
318,536623,84755,32,0.65
319,536623,22460,24,1.25
320,536623,84970L,24,0.95
321,536623,22432,6,1.95
322,536623,22433,6,1.95
323,536623,22431,6,1.95
324,536623,84674,6,2.95
325,536623,82486,4,7.95
326,536623,82483,4,5.95
327,536623,21068,12,1.25
328,536623,21069,12,1.25
329,536623,21070,12,1.25
330,536623,22972,12,1.65
331,536623,22974,12,1.65
332,536623,22419,36,0.42
333,536623,21071,12,1.25
334,536641,22187,1,4.25
335,536673,21014,60,0.85
336,536673,21803,36,0.42
337,536673,21801,36,0.42
338,536673,72816,48,1.06
339,536673,22909,96,0.64
340,536673,40016,144,0.42
341,536673,22491,48,0.85
342,536673,21791,36,1.25
343,536681,84406B,1,3.25
344,536681,22294,10,1.25
345,536681,22295,6,1.65
346,536681,22906,1,1.65
347,536681,22988,1,1.25
348,536681,84879,8,1.69
349,536681,22423,3,12.75
350,536681,22633,2,2.1
351,536681,22867,1,2.1
352,536681,22866,1,2.1
353,536681,21586,3,2.55
354,536681,21584,6,1.65
355,536681,21588,3,2.55
356,536733,21206,12,1.65
357,536733,20974,24,0.65
358,536733,22333,16,1.65
359,536733,21094,60,0.85
360,536733,21080,24,0.85
361,536733,21086,36,0.65
362,536733,20914,6,2.95
363,536733,20975,24,0.65
364,536733,20677,8,1.25
365,536733,47590B,9,5.45
366,536733,47599A,12,2.1
367,536733,22083,6,2.95
368,536733,47599B,6,2.1
369,536733,84375,12,2.1
370,536739,22666,6,2.95
371,536739,22120,3,9.95
372,536739,85159A,2,6.35
373,536739,85064,2,5.45
374,536739,21843,1,10.95
375,536739,20750,2,7.95
376,536739,35004C,3,5.45
377,536739,21784,2,9.95
378,536739,22849,1,16.95
379,536739,22848,1,16.95
380,536739,21527,2,7.95
381,536739,21844,6,2.95
382,536783,22530,60,0.36
383,536783,22492,144,0.55
384,536783,22467,108,2.1
385,536783,22454,48,2.55
386,536783,22453,24,2.95
387,536783,22452,48,2.55
388,536783,22328,72,2.55
389,536783,22075,24,1.45
390,536783,21673,72,1.25
391,536783,21509,24,0.36
392,536783,21508,24,0.36
393,536783,21507,48,0.36
394,536783,21506,108,0.36
395,536783,21500,75,0.34
396,536783,21499,200,0.34
397,536783,21498,200,0.34
398,536783,21212,120,0.42
399,536783,20719,100,0.72
400,536783,20685,30,6.75
401,536783,16237,270,0.16
402,536783,85178,18,1.25
403,536783,85116,24,1.25
404,536783,84952C,36,1.25
405,536783,84952B,48,1.25
406,536783,84692,50,0.32
407,536783,84347,120,1.88
408,536783,71459,144,0.72
409,536783,48194,70,6.75
410,536783,48184,30,6.75
411,536783,35001G,42,3.39
412,536783,22752,96,7.65
413,536783,22659,64,1.65
414,536783,22630,64,1.65
415,536783,22629,64,1.65
416,536783,22585,72,1.25
417,536783,22536,48,0.36
418,536783,22534,96,0.36
419,536783,22533,24,0.36
420,536784,85116,24,1.25
421,536784,84952B,12,1.25
422,536784,84347,240,1.88
423,536784,71459,96,0.72
424,536784,48187,30,6.75
425,536784,22752,72,7.65
426,536784,22659,64,1.65
427,536784,22630,36,1.65
428,536784,22629,36,1.65
429,536784,22585,72,1.25
430,536784,22536,48,0.36
431,536784,22534,48,0.36
432,536784,22533,24,0.36
433,536784,22530,48,0.36
434,536784,22454,12,2.55
435,536784,22453,24,2.55
436,536784,22452,12,2.55
437,536784,22075,48,1.45
438,536784,21673,24,1.25
439,536784,21499,50,0.34
440,536784,21498,50,0.34
441,536784,21212,120,0.42
442,536784,20719,30,0.72
443,536784,20685,20,6.75
444,536784,16237,90,0.16
445,536785,84946,216,1.06
446,536785,84879,320,1.45
447,536785,22659,128,1.65
448,536785,22423,144,10.95
449,536785,20963,100,1.25
450,536785,20961,100,1.25
451,536786,85178,96,1.25
452,536786,22617,48,4.25
453,536788,22558,60,1.25
454,536792,22558,24,1.25
455,536798,22427,1,5.95
456,536798,37370,6,1.25
457,536798,21877,6,1.25
458,536798,79066K,6,0.85
459,536798,22424,4,12.75
460,536798,22426,4,3.75
461,536798,22429,4,4.25
462,536798,22428,5,6.95
463,536798,82552,24,1.45
464,536798,82551,24,1.45
465,536798,82578,12,0.55
466,536798,82581,12,0.55
467,536798,82599,12,2.1
468,536798,21874,6,1.25
469,536798,21911,12,1.65
470,536798,21181,12,2.1
471,536798,21908,12,2.1
472,536798,22413,12,2.95
473,536798,21169,24,1.69
474,536798,82583,12,2.1
475,536798,82567,12,2.1
476,536798,82583,12,2.1
477,536798,21166,12,1.95
478,536798,21901,48,0.65
479,536798,21899,48,0.65
480,536798,21874,6,1.25
481,536798,21174,12,1.95
482,536798,21175,12,2.1
483,536798,21900,48,0.65
484,536798,21902,48,0.65
485,536798,48138,4,7.95
486,536806,21803,36,0.42
487,536806,22579,12,0.85
488,536806,82580,12,0.55
489,536806,82581,12,0.55
490,536806,82578,12,0.55
491,536817,22187,-1,4.25
492,536817,71477,-1,3.25
493,536827,21527,-3,6.95
494,536831,84880,12,4.95
495,536831,22207,48,3.75
496,536831,21929,100,1.65
497,536831,21928,100,1.65
498,536839,84077,288,0.21
499,536839,20685,5,7.95
500,536839,21524,10,6.75
501,536839,21916,24,0.42
502,536839,21508,12,0.42
503,536839,22027,12,0.42
504,536839,22030,36,0.42
505,536839,22029,36,0.42
506,536839,21519,36,0.42
507,536839,21506,24,0.42
508,536839,22023,24,0.42
509,536839,21507,36,0.42
510,536839,84247G,48,0.42
511,536839,21509,48,0.42
512,536839,84879,96,1.69
513,536839,22585,144,1.06
514,536845,84997B,1,3.75
515,536845,22384,1,1.65
516,536845,21530,1,2.95
517,536845,21528,1,6.95
518,536845,22635,1,9.95
519,536845,21326,6,0.65
520,536845,84832,4,0.85
521,536845,21891,1,1.25
522,536845,72807C,1,4.25
523,536845,21333,1,2.95
524,536845,21820,1,3.75
525,536845,21821,1,3.75
526,536845,22162,1,2.95
527,536845,20727,1,1.65
528,536845,22619,2,3.75
529,536845,21479,1,3.75
530,536845,84029G,1,3.75
531,536845,21706,1,4.95
532,536845,21114,1,1.25
533,536845,20725,1,1.65
534,536845,22327,1,2.95
535,536845,20978,3,1.25
536,536845,20979,4,1.25
537,536845,22636,1,8.5
538,536845,85014A,1,5.95
539,536845,20615,1,2.1
540,536845,22634,1,9.95
541,536845,22271,2,2.95
542,536845,21479,2,3.75
543,536848,22910,80,2.55
544,536848,21930,100,1.65
545,536848,21928,100,1.65
546,536851,20682,24,3.25
547,536851,22111,36,4.95
548,536851,21485,6,4.95
549,536851,22128,60,1.25
550,536851,20749,12,7.95
551,536851,22276,36,2.55
552,536851,22503,6,29.95
553,536851,21430,48,4.25
554,536851,21429,56,1.65
555,536851,21428,8,4.25
556,536851,22333,32,1.65
557,536851,22180,6,9.95
558,536851,22504,6,29.95
559,536851,21094,12,0.85
560,536851,21086,12,0.65
561,536854,22158,-1,2.95
562,536854,22944,-1,1.25
563,536854,21871,-1,1.25
564,536890,17090A,36,0.85
565,536890,17084R,1440,0.16
566,536890,17091J,72,0.85
567,536945,47503J,1,7.95
568,536945,48184,1,7.95
569,536945,48187,2,7.95
570,536945,22846,1,16.95
571,536945,21913,1,3.75
572,536945,22278,1,4.95
573,536945,22467,1,2.55
574,536945,22956,1,2.1
575,536945,37464,1,1.25
576,536945,22956,1,2.1
577,536945,85014B,2,5.95
578,536945,84247N,1,2.95
579,536945,84247K,1,2.95
580,536945,22029,12,0.42
581,536945,22035,12,0.42
582,536945,22943,1,4.95
583,536945,22469,1,1.65
584,536945,21250,2,2.95
585,536945,21678,1,0.85
586,536945,22435,1,1.25
587,536945,84569B,1,1.25
588,536945,21677,6,0.85
589,536945,84569B,1,1.25
590,536945,21830,24,0.42
591,536945,22438,1,1.95
592,536945,22780,1,4.25
593,536945,22437,1,0.85
594,536945,85227,2,0.85
595,536945,21114,10,1.25
596,536945,47504K,2,1.95
597,536945,22553,1,1.65
598,536945,22554,1,1.65
599,536945,22557,1,1.65
600,536945,22551,1,1.65
601,536945,21621,1,8.5
602,536945,84212,1,0.65
603,536945,21411,4,4.25
604,536945,21828,1,1.25
605,536945,21377,6,1.65
606,536945,21379,6,1.25
607,536945,37489D,1,1.95
608,536945,17107D,3,2.55
609,536945,20751,1,2.1
610,536945,20754,1,2.1
611,536945,20751,1,2.1
612,536945,22132,2,0.85
613,536945,22133,2,0.85
614,536945,21830,24,0.42
615,536945,37489B,1,1.95
616,536945,37489C,1,1.95
617,536945,22635,1,9.95
618,536945,21564,2,2.95
619,536945,84969,1,4.25
620,536945,20998,2,2.95
621,536945,84997A,1,3.75
622,536945,21932,2,2.95
623,536945,21933,2,2.95
624,536945,22661,3,0.85
625,536945,21100,2,1.65
626,536945,22411,2,1.95
627,536945,22380,1,2.1
628,536945,37489A,1,1.95
629,536945,21469,1,3.75
630,536945,21465,1,3.75
631,536945,21470,1,3.75
632,536945,21430,2,3.75
633,536960,22114,4,3.95
634,536960,21945,12,0.85
635,536960,22141,6,2.1
636,536960,22142,12,1.45
637,536960,22144,6,2.1
638,536960,21704,12,0.85
639,536960,21889,12,1.25
640,536960,21890,6,2.95
641,536960,21914,12,1.25
642,536960,20975,24,0.65
643,536960,22505,4,4.95
644,536960,22086,6,2.95
645,536960,22112,6,4.95
646,536960,47590A,3,5.45
647,536968,79321,48,4.25
648,536968,71477,120,2.75
649,536969,71477,192,2.75
650,536970,22423,120,10.95
651,536979,84685,-1,3.75
652,536979,22630,-1,1.95
653,536980,22632,10,2.1
654,536980,22865,20,2.1
655,536980,22866,20,2.1
656,536980,22952,2,0.55
657,536980,85230B,24,0.29
658,536980,85230F,24,0.29
659,536980,22910,1,2.95
660,536980,22909,2,0.85
661,536980,22423,16,10.95
662,536980,22699,48,2.55
663,536980,22697,48,2.55
664,536980,22306,24,1.95
665,536984,21446,1,1.25
666,536984,20963,1,1.25
667,536984,21673,6,1.25
668,536984,22910,2,2.95
669,536984,84507C,1,2.55
670,536984,20961,1,1.25
671,536984,20910,2,6.35
672,536984,21498,25,0.42
673,536984,20668,24,0.12
674,536984,22041,6,2.55
675,536984,82616C,1,2.95
676,536984,82616B,1,2.95
677,536984,21917,1,0.42
678,536984,21918,1,0.42
679,536984,22728,1,3.75
680,536984,22839,1,14.95
681,536984,20966,4,1.25
682,536984,22110,1,2.55
683,536984,84030E,1,4.25
684,536984,21558,2,2.55
685,536984,20719,5,0.85
686,536984,79321,24,4.25
687,536984,21916,1,0.42
688,536984,21042,1,5.95
689,536984,22654,9,5.95
690,536984,22866,4,2.1
691,536984,84352,1,16.95
692,536984,85232B,7,4.95
693,536984,21784,1,9.95
694,537026,84375,12,2.1
695,537026,21217,2,9.95
696,537026,21212,120,0.42
697,537026,21977,120,0.42
698,537026,22417,120,0.42
699,537026,21975,48,0.55
700,537026,21976,48,0.55
701,537026,22551,12,1.65
702,537026,85099B,10,1.95
703,537026,22355,10,0.85
704,537026,84992,24,0.55
705,537026,POST,2,18.0
706,537034,22867,96,1.85
707,537034,22866,96,1.85
708,537034,22865,96,1.85
709,537034,22633,96,1.85
710,537034,22616,48,0.29
711,537034,22910,40,2.55
712,537034,21094,36,0.85
713,537034,84006,36,0.85
714,537034,22029,24,0.42
715,537034,21504,24,0.42
716,537034,22431,24,1.95
717,537034,21731,24,1.65
718,537034,22553,24,1.65
719,537034,22418,24,0.85
720,537034,22197,24,0.85
721,537034,22662,20,1.65
722,537034,22629,12,1.95
723,537034,22738,10,1.65
724,537034,22732,18,1.25
725,537034,21086,12,0.65
726,537034,22348,12,0.85
727,537034,20829,8,2.1
728,537034,84247G,12,0.42
729,537034,20963,20,1.25
730,537034,21224,10,1.25
731,537034,22090,24,2.95
732,537034,22433,12,1.95
733,537034,21721,24,0.85
734,537034,21232,12,1.25
735,537034,22133,12,0.85
736,537034,21559,6,2.55
737,537034,22024,12,0.42
738,537034,21677,12,0.85
739,537034,84988,12,1.45
740,537034,22131,12,1.95
741,537034,20971,12,1.25
742,537034,20972,12,1.25
743,537034,21947,12,1.25
744,537034,22466,12,1.95
745,537034,21726,12,0.85
746,537034,21211,12,1.45
747,537034,84029E,12,3.75
748,537034,84375,12,2.1
749,537034,21125,12,1.25
750,537034,21164,12,2.95
751,537034,21877,12,1.25
752,537034,22111,12,4.95
753,537034,22434,8,1.95
754,537034,21724,12,0.85
755,537034,21429,8,1.65
756,537034,22569,12,3.75
757,537034,84030E,12,4.25
758,537034,22837,12,4.65
759,537034,22142,12,1.45
760,537034,22748,6,2.1
761,537034,22780,8,4.25
762,537034,22940,12,4.25
763,537034,22198,12,1.65
764,537034,22745,6,2.1
765,537034,22746,6,2.1
766,537034,22747,6,2.1
767,537034,20676,8,1.25
768,537034,21243,8,1.69
769,537034,84997D,6,3.75
770,537034,22432,6,1.95
771,537034,15060B,4,3.75
772,537034,22327,6,2.95
773,537034,21481,12,2.95
774,537034,22314,6,2.95
775,537034,22570,8,3.75
776,537034,22200,4,4.25
777,537034,22568,8,3.75
778,537034,21843,2,10.95
779,537035,37446,8,1.45
780,537040,22423,48,10.95
781,537040,84949,144,1.45
782,537041,22726,4,3.75
783,537041,22730,4,3.75
784,537041,22727,4,3.75
785,537041,22728,3,3.75
786,537041,22358,1,2.95
787,537041,21876,1,1.25
788,537041,21868,1,1.25
789,537041,21877,2,1.25
790,537041,37370,2,1.25
791,537041,22652,4,1.65
792,537041,22507,2,4.95
793,537041,85054,2,2.95
794,537041,85055,2,3.75
795,537041,21165,6,1.69
796,537041,22666,2,2.95
797,537041,22667,2,2.95
798,537041,84924A,1,3.75
799,537041,22630,1,1.95
800,537041,22629,1,1.95
801,537041,22955,1,2.1
802,537041,22956,1,2.1
803,537041,22426,1,3.75
804,537041,22427,1,5.95
805,537041,22193,1,8.5
806,537041,35810B,1,2.1
807,537041,35241,1,4.95
808,537046,22169,16,7.65
809,537046,22469,6,1.65
810,537046,22470,3,2.95
811,537046,82484,2,6.45
812,537046,21333,1,2.95
813,537046,22855,7,1.25
814,537046,82486,1,7.95
815,537046,85123A,1,2.95
816,537046,21363,1,4.95
817,537046,82482,1,2.55
818,537046,85064,1,5.45
819,537046,85066,2,12.75
820,537046,22667,5,2.95
821,537046,21259,8,5.95
822,537058,22941,2,8.5
823,537058,82552,12,1.45
824,537058,22752,2,8.5
825,537058,20914,6,2.95
826,537058,22867,96,1.85
827,537058,22041,6,2.55
828,537058,22900,6,2.95
829,537058,22837,4,4.65
830,537058,22943,3,4.95
831,537058,22966,12,1.25
832,537058,22531,24,0.42
833,537058,22952,24,0.55
834,537065,22837,8,4.65
835,537065,22846,1,16.95
836,537065,22892,12,1.25
837,537065,22968,8,8.5
838,537065,84678,6,2.55
839,537065,20665,6,2.95
840,537065,21786,24,0.42
841,537065,21787,24,0.85
842,537065,20750,6,7.95
843,537065,20749,2,7.95
844,537065,21774,12,1.25
845,537065,21121,24,1.25
846,537065,21439,12,1.25
847,537065,47566,5,4.65
848,537065,22727,4,3.75
849,537065,22726,4,3.75
850,537065,22728,4,3.75
851,537065,22729,4,3.75
852,537065,22243,12,1.65
853,537065,22467,6,2.55
854,537065,22318,6,2.95
855,537065,21195,6,2.1
856,537065,20725,10,1.65
857,537065,20726,20,1.65
858,537065,20728,10,1.65
859,537065,21559,6,2.55
860,537065,22326,6,2.95
861,537065,22352,6,2.55
862,537065,21555,6,2.55
863,537065,21533,3,4.95
864,537065,21539,3,4.95
865,537065,22423,2,12.75
866,537065,84997A,6,3.75
867,537065,84997B,6,3.75
868,537065,84997C,6,3.75
869,537065,84279P,4,3.75
870,537065,22634,2,9.95
871,537065,22635,2,9.95
872,537065,22636,2,8.5
873,537065,22180,4,9.95
874,537065,21980,24,0.29
875,537065,21981,24,0.29
876,537065,21982,24,0.29
877,537065,22614,24,0.29
878,537065,22615,24,0.29
879,537065,84870B,4,3.75
880,537065,84870C,4,3.75
881,537065,22554,12,1.65
882,537065,22551,12,1.65
883,537065,16238,28,0.21
884,537065,85227,12,0.85
885,537065,22632,12,2.1
886,537065,21829,36,0.21
887,537065,21556,6,2.55
888,537065,22644,12,1.45
889,537065,22390,6,2.55
890,537065,22483,6,2.95
891,537065,21054,6,8.95
892,537065,21055,6,8.95
893,537065,21892,12,1.25
894,537065,22619,4,3.75
895,537065,84963A,4,42.95
896,537065,POST,9,18.0
897,537136,20894,1,2.95
898,537136,85018D,1,2.55
899,537136,21413,1,1.25
900,537136,79149B,1,0.42
901,537136,21682,4,4.95
902,537136,78034B,1,1.95
903,537136,22894,1,8.5
904,537136,79151B,1,0.42
905,537136,21830,24,0.42
906,537136,22694,1,2.1
907,537136,21664,4,3.75
908,537136,71406C,1,0.42
909,537136,21090,2,0.85
910,537136,85049A,2,1.25
911,537136,21209,1,1.65
912,537136,22354,4,3.75
913,537136,22222,1,4.95
914,537136,17107D,2,2.55
915,537136,21635,1,3.75
916,537136,84952C,1,3.75
917,537136,84952B,2,3.75
918,537136,21231,2,1.25
919,537136,21428,1,4.25
920,537136,21034,2,0.95
921,537136,84988,1,1.45
922,537136,85049A,2,1.25
923,537136,15036,12,0.75
924,537136,35471D,2,1.25
925,537136,21467,1,3.75
926,537136,21090,2,0.85
927,537136,71477,3,3.25
928,537136,21982,12,0.29
929,537136,21983,12,0.29
930,537136,22694,1,2.1
931,537136,21985,12,0.29
932,537136,21980,12,0.29
933,537136,21351,18,5.95
934,537140,M,1,0.42
935,537140,M,1,0.85
936,537140,90086,1,0.85
937,537140,84827,1,0.65
938,537140,62018,1,1.95
939,537140,22488,1,1.65
940,537140,20685,1,7.95
941,537140,16011,5,0.21
942,537140,85179A,1,4.65
943,537140,22669,2,2.95
944,537140,22352,1,2.55
945,537140,22477,2,1.25
946,537140,22633,1,2.1
947,537140,21785,1,0.85
948,537140,21786,1,0.42
949,537140,21787,1,0.85
950,537140,21982,3,0.29
951,537140,20973,4,0.65
952,537140,22174,1,1.65
953,537140,21650,2,0.65
954,537140,22951,1,0.55
955,537140,21650,3,0.65
956,537140,84874B,1,1.65
957,537140,21790,1,0.85
958,537140,22181,1,0.85
959,537140,21650,1,0.65
960,537140,22616,1,0.29
961,537140,22554,1,1.65
962,537140,21916,1,0.42
963,537140,85178,1,1.25
964,537140,84827,1,0.65
965,537140,22632,1,2.1
966,537140,22586,2,0.85
967,537140,22865,1,2.1
968,537140,22071,1,3.75
969,537140,22866,1,2.1
970,537140,22867,1,2.1
971,537140,22632,1,2.1
972,537140,22633,1,2.1
973,537142,22844,1,8.5
974,537142,82582,1,2.1
975,537142,82578,1,0.55
976,537142,22674,1,1.25
977,537142,22809,1,2.95
978,537142,22810,1,2.95
979,537142,85167B,1,4.25
980,537142,84836,1,1.25
981,537142,47566,1,4.65
982,537142,22669,2,2.95
983,537142,22578,1,0.85
984,537142,21669,1,1.25
985,537142,22585,1,1.25
986,537142,22469,1,1.65
